SystemID,StreetName,HouseNumber,UnitNumber,ServiceType,RFID,ContainerSize,ContainerType,TicketStatus,DateTime,UserName,Latitude,Longitude,BrokenComponent,Comments
531149,SNAPJACK,4880,,DEL,888888889463,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531148,SNAPJACK,4879,,DEL,888888889464,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531147,SNAPJACK,4876,,DEL,888888889465,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531146,SNAPJACK,4875,,DEL,888888889466,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531145,SNAPJACK,4872,,DEL,888888889467,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531144,SNAPJACK,4871,,DEL,888888889468,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531143,SNAPJACK,4868,,DEL,888888889469,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531142,SNAPJACK,4867,,DEL,888888889470,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531141,SNAPJACK,4864,,DEL,888888889471,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531140,SNAPJACK,4863,,DEL,888888889472,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531139,SNAPJACK,4860,,DEL,888888889473,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531138,SNAPJACK,4856,,DEL,888888889474,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531137,SNAPJACK,4852,,DEL,888888889475,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531136,SNAPJACK,4848,,DEL,888888889476,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531135,SNAPJACK,4844,,DEL,888888889477,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531134,SNAPJACK,4843,,DEL,888888889478,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531133,SNAPJACK,4840,,DEL,888888889479,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531132,SNAPJACK,4839,,DEL,888888889480,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531131,SNAPJACK,4836,,DEL,888888889481,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531130,SNAPJACK,4835,,DEL,888888889482,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531129,SNAPJACK,4832,,DEL,888888889483,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531128,SNAPJACK,4831,,DEL,888888889484,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531127,SNAPJACK,4828,,DEL,888888889485,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531126,SNAPJACK,4827,,DEL,888888889486,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531125,SNAPJACK,4824,,DEL,888888889487,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531124,SNAPJACK,4823,,DEL,888888889488,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531123,SNAPJACK,4820,,DEL,888888889489,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531122,SNAPJACK,4819,,DEL,888888889490,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531121,SNAPJACK,4816,,DEL,888888889491,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531120,SNAPJACK,4815,,DEL,888888889492,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531119,SNAPJACK,4812,,DEL,888888889493,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531118,SNAPJACK,4811,,DEL,888888889494,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531117,SNAPJACK,4808,,DEL,888888889495,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531116,SNAPJACK,4807,,DEL,888888889496,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531115,SNAPJACK,4804,,DEL,888888889497,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531114,SNAPJACK,4803,,DEL,888888889498,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531113,SNAPJACK,4784,,DEL,888888889499,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531112,SNAPJACK,4783,,DEL,888888889500,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531111,SNAPJACK,4780,,DEL,888888889501,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531110,SNAPJACK,4779,,DEL,888888889502,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531109,SNAPJACK,4776,,DEL,888888889503,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531108,SNAPJACK,4775,,DEL,888888889504,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531107,SNAPJACK,4772,,DEL,888888889505,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531106,SNAPJACK,4771,,DEL,888888889506,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531105,SNAPJACK,4768,,DEL,888888889507,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531104,SNAPJACK,4764,,DEL,888888889508,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531103,SNAPJACK,4760,,DEL,888888889509,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531102,SNAPJACK,4756,,DEL,888888889510,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531101,SNAPJACK,4752,,DEL,888888889511,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531100,SNAPJACK,4748,,DEL,888888889512,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531099,SNAPJACK,4747,,DEL,888888889513,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531098,SNAPJACK,4744,,DEL,888888889514,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531097,SNAPJACK,4743,,DEL,888888889515,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531096,SNAPJACK,4740,,DEL,888888889516,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531095,SNAPJACK,4739,,DEL,888888889517,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531094,SNAPJACK,4736,,DEL,888888889518,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531093,SNAPJACK,4735,,DEL,888888889519,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531092,SNAPJACK,4732,,DEL,888888889520,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531091,SNAPJACK,4731,,DEL,888888889521,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531090,SNAPJACK,4727,,DEL,888888889522,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531089,SNAPJACK,4724,,DEL,888888889523,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531088,SNAPJACK,4723,,DEL,888888889524,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531087,SNAPJACK,4720,,DEL,888888889525,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531086,SNAPJACK,4719,,DEL,888888889526,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531085,SNAPJACK,4716,,DEL,888888889527,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531084,SNAPJACK,4711,,DEL,888888889528,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531083,SNAPJACK,4707,,DEL,888888889529,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531082,SNAPJACK,4703,,DEL,888888889530,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
529433,SCHILLINGER,4128,,DEL,888888889531,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
529432,SCHILLINGER,4124,,DEL,888888889532,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
529431,SCHILLINGER,4120,,DEL,888888889533,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
529430,SCHILLINGER,4116,,DEL,888888889534,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
529429,SCHILLINGER,4112,,DEL,888888889535,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
529428,SCHILLINGER,4108,,DEL,888888889536,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
529427,SCHILLINGER,4104,,DEL,888888889537,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
529426,SCHILLINGER,4040,,DEL,888888889538,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
529425,SCHILLINGER,4036,,DEL,888888889539,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
529424,SCHILLINGER,4035,,DEL,888888889540,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
